timestamp_ms,ax,ay,az,gx,gy,gz,wheel_pulse
386600,606,385,4652,-305,580,-595,233
386605,396,-446,5457,-466,684,-507,233
386610,81,-926,2349,-32,987,-435,233
386615,-40,-887,1612,98,376,-148,233
386620,-152,-183,1692,1115,-177,97,233
386625,457,291,6527,295,-319,138,233
386630,862,-307,1722,-1054,1375,197,233
386635,-156,-1286,2227,-735,482,402,233
386640,135,696,7074,-199,-317,612,233
386645,509,1514,4843,626,449,264,233
386650,528,1325,6167,-247,91,-55,233
386655,413,154,5564,-734,792,-356,233
386660,-194,-226,2015,106,1245,-614,233
386665,94,-485,1748,1107,127,-759,233
386670,924,614,7270,438,-833,-797,233
386675,554,-1683,2663,-914,900,-786,233
386680,266,-1546,1936,-565,70,-412,233
386685,272,593,8138,-105,-1353,-48,233
386690,-179,-228,2160,-28,510,-20,233
386695,-93,315,2858,307,-196,94,233
386700,770,1132,8022,203,-697,93,233
386705,184,-333,3120,-181,1359,-128,233
386710,-21,-1131,4152,-64,739,-193,233
386715,771,-73,5947,353,94,-65,233
386720,514,760,4387,-39,732,-26,233
386725,-24,-405,2229,-120,882,-261,233
386730,563,-664,2549,284,-155,-329,233
386735,534,553,4780,889,-826,-297,233
386740,472,-140,3666,238,-301,-433,233
386745,476,-497,5331,-157,-474,-462,233
386750,597,-641,5968,7,-415,-361,233
386755,-5,22,4456,378,197,-189,233
386760,142,-211,4167,284,399,-130,233
386765,369,541,5597,-155,682,-36,233
386770,89,367,4527,-120,1444,-44,233
386775,125,171,1882,-328,1621,-27,233
386780,424,-233,3992,512,841,-133,233
386785,1052,-420,4369,992,711,-305,233
386790,130,108,4606,780,844,-163,233
386795,45,-553,5205,-607,637,-63,233
386800,361,-1627,3863,-102,558,-71,233
386805,128,-481,3998,66,-88,265,233
386810,-284,608,4280,209,-153,284,234
386815,-48,-295,1994,345,-3,47,234
386820,384,65,4710,194,-753,70,234
386825,151,525,3782,367,-191,-59,234
386830,-104,617,1249,887,-240,-341,234
386835,630,-138,7021,1209,-1487,-549,234
386840,585,-473,7578,515,-364,-509,234
386845,343,-1759,2848,595,325,-425,234
386850,346,-1050,6427,350,-1102,90,234
386855,67,-407,4472,499,-352,428,234
386860,136,-400,1057,465,-139,613,234
386865,390,346,5156,554,-1380,752,234
386870,670,1320,5115,-210,-784,658,234
386875,-50,779,2447,-447,-218,476,234
386880,132,738,6200,-22,-941,188,234
386885,573,597,5715,476,-86,-186,234
386890,508,280,5086,136,371,-411,234
386895,308,7,4955,-228,669,-520,234
386900,230,-1485,3200,-71,846,-615,234
386905,969,-211,6497,311,146,-322,234
386910,254,-484,2193,457,784,-192,234
386915,478,-1238,3739,456,-356,-39,234
386920,534,-759,4730,211,-682,304,234
386925,191,340,3454,-225,-356,627,234
386930,243,729,4940,-284,-705,622,234
386935,81,610,4093,-160,-479,354,234
386940,-58,448,4262,14,-510,78,234
386945,157,869,4143,-402,-446,-101,234
386950,136,-237,4047,-480,-231,-332,234
386955,252,50,3684,405,-343,-434,234
386960,395,-219,4291,414,-498,-381,234
386965,267,-813,3775,741,-225,-323,234
386970,15,-1027,2057,1189,-332,-199,234
386975,557,-637,6838,333,-1216,-1,234
386980,305,-934,3236,-372,-204,227,234
386985,2,29,5950,-724,-802,448,234
386990,-323,1157,3687,-796,-264,421,234
386995,-51,631,4213,-609,-348,216,234
387000,944,737,4430,-500,-492,21,234
387005,453,400,4147,-326,-413,-134,234
387010,146,666,5880,-171,-766,-218,234
387015,-107,843,2680,220,-306,-409,234
387020,835,-1216,3689,-164,-904,-536,234
387025,633,-1011,4933,-347,-1196,-283,234
387030,32,-214,3674,-424,-958,-44,234
387035,233,-624,4288,-124,-1198,-77,234
387040,249,-340,5152,-226,-1143,-8,234
387045,578,-327,5227,-350,-700,58,234
387050,751,74,5425,-437,-354,119,234
387055,387,-147,5821,-146,-43,51,234
387060,294,312,3738,431,517,-43,234
387065,727,671,5213,882,237,-231,234
