timestamp_ms,ax,ay,az,gx,gy,gz,wheel_pulse
273680,205,-487,3782,160,258,-494,119
273685,-23,-726,4275,181,116,-460,119
273690,-131,-232,5135,-26,91,-314,119
273695,-20,-742,3528,-168,309,-265,119
273700,99,-515,4456,-165,-74,-167,119
273705,-67,398,4728,-29,52,-126,119
273710,-53,143,1599,-127,349,-294,119
273715,141,-636,2780,-298,-532,-380,119
273720,175,-310,4693,-440,-966,-244,119
273725,-196,272,4321,-711,-666,-123,119
273730,-229,318,4997,-839,-693,-212,119
273735,-2,-607,4871,-969,-748,-300,119
273740,792,122,9967,-38,-888,-255,119
273745,953,-1040,4801,479,429,-430,119
273750,948,-2810,7011,1133,-572,-402,119
273755,1247,-2013,5681,529,205,194,119
273760,378,-1456,4650,635,660,601,119
273765,663,-995,5503,873,394,872,119
273770,149,694,3887,1112,975,948,119
273775,47,132,3363,1000,1086,763,119
273780,126,429,2717,806,1003,628,119
273785,142,359,3612,537,664,468,119
273790,-86,-18,2345,451,721,354,119
273795,-88,-63,5324,213,297,294,119
273800,-380,-320,4897,-218,696,306,119
273805,-316,-348,4502,-154,649,374,119
273810,-29,-40,3603,-132,392,379,119
273815,-30,222,3233,170,53,199,119
273820,-54,202,4694,369,-545,-20,119
273825,62,-346,4268,258,-461,-154,119
273830,-227,-388,2641,441,-611,-245,119
273835,-133,-269,5187,556,-1157,-353,119
273840,-63,-121,4556,-37,-511,-422,119
273845,75,-383,4610,4,-334,-483,119
273850,-84,-113,4161,133,-205,-510,119
273855,23,-144,3984,58,-126,-528,119
273860,129,-347,4126,298,-150,-510,119
273865,82,-386,4126,268,-112,-368,119
273870,42,-453,4348,303,-71,-223,119
273875,115,-496,5200,103,-79,-125,119
273880,142,-825,4598,-209,149,-16,119
273885,-231,-249,4163,-276,101,120,119
273890,-188,-43,4269,-172,-26,99,119
273895,65,-129,3321,-62,-20,-23,119
273900,-52,-241,4209,13,-251,-116,119
273905,-97,-301,4464,208,-215,-168,119
273910,134,-330,5885,43,-226,-203,119
273915,69,-1014,5342,-33,204,-198,119
273920,-158,-699,4013,-40,228,-5,119
273925,35,-533,3694,-28,87,142,119
273930,212,230,3700,-11,-94,215,119
273935,285,218,3947,152,-216,87,119
273940,227,126,5642,120,-311,-64,119
273945,50,-216,4828,61,172,-160,119
273950,-71,-202,4098,33,352,-253,119
273955,-125,-205,4703,67,295,-334,119
273960,-227,-756,3469,-55,448,-356,119
273965,-115,-792,3730,-67,139,-190,119
273970,-315,-199,2970,25,155,18,119
273975,-173,-54,3469,52,-170,62,119
273980,-121,-169,3745,333,-336,-17,119
273985,69,-498,5554,257,-482,-72,119
273990,-115,-164,4126,0,55,-45,119
273995,-55,39,4169,-190,-59,-120,119
274000,182,-617,5348,-165,-213,-242,119
274005,196,-1131,4556,-199,24,-162,119
274010,165,-195,3530,-131,16,75,119
274015,27,322,3440,184,-214,80,119
274020,171,-249,4846,316,-297,-92,119
274025,50,-510,4710,-47,62,-146,119
274030,-99,-506,4987,-73,39,-99,119
274035,-244,-96,4077,-195,-96,-46,119
274040,-65,-469,4895,-216,-160,-21,120
274045,62,-294,4053,228,17,31,120
274050,295,-151,5011,370,-79,37,120
274055,-84,-1387,3008,605,415,12,120
274060,168,-1166,4879,812,23,188,120
274065,213,-933,3522,589,314,379,120
274070,470,-371,5252,433,33,512,120
274075,347,-50,5184,647,197,490,120
274080,221,494,4770,628,295,379,120
274085,197,245,4662,517,542,210,120
274090,-58,-49,3615,683,685,53,120
274095,-96,-27,3641,755,516,-37,120
274100,-114,-501,3647,646,392,-55,120
274105,-160,-897,2871,538,219,32,120
274110,-117,-815,4467,47,-266,265,120
274115,-322,-32,2285,-521,-44,555,120
274120,-258,-81,5251,-616,-657,626,120
274125,-261,215,4552,-655,-401,599,120
274130,-419,513,3163,-814,-308,501,120
274135,-280,164,3186,-685,-713,303,120
274140,-134,559,4652,-951,-902,122,120
274145,-240,313,3696,-1205,-690,-89,120
274150,-353,97,3620,-1325,-866,-303,120
274155,-254,-288,5090,-1423,-1175,-441,120
274160,-267,-298,5386,-658,-946,-483,120
274165,192,-417,5832,-563,-770,-475,120
274170,-21,-1287,3669,-341,-348,-421,120
274175,186,-6,4557,-11,-802,-308,120
274180,313,-779,4891,-103,-750,-417,120
274185,428,-993,4841,-306,-596,-331,120
274190,8,-202,3693,-237,-437,-152,120
274195,35,376,5408,-120,-749,-119,120
274200,-5,140,4329,-75,-258,-245,120
274205,-133,-274,3369,-158,-162,-320,120
274210,-50,-723,4355,-229,-264,-300,120
274215,-85,-976,3700,-216,-86,-156,120
274220,167,-1230,5478,-537,-389,80,120
274225,180,-699,2343,-598,48,357,120
274230,524,683,4309,334,-888,224,120
274235,599,592,4663,737,-1094,-231,120
274240,69,-973,3791,654,-1110,-607,120
274245,-270,-789,3162,703,-1341,-711,120
274250,-365,-1285,3654,715,-1744,-677,120
274255,-199,-661,4756,871,-1831,-468,120
274260,-225,-543,2802,877,-1490,-341,120
274265,-304,-583,2644,845,-1845,-249,120
274270,5,172,3470,855,-1935,-181,120
274275,450,842,6308,660,-2285,-208,120
274280,591,544,5434,1577,-2203,-497,120
274285,1479,-390,10265,1511,-2141,-735,120
274290,632,-547,8190,1576,-353,-727,120
274295,1568,-1329,6137,478,831,-458,120
274300,1567,-2058,7919,283,1392,-13,120
274305,676,-355,6041,98,2038,644,120
274310,386,226,3327,-41,2492,848,120
274315,-113,687,2162,199,2439,753,120
274320,-24,578,1783,471,2215,496,120
274325,50,724,1789,183,1815,188,120
274330,-33,648,2805,-209,1366,-102,120
274335,-175,321,2396,-496,1224,-385,120
274340,-183,-266,2566,-436,620,-557,120
274345,55,-691,5376,-340,-169,-484,120
274350,-346,-1872,5271,-180,189,-235,120
274355,-644,-1725,4105,194,377,216,120
274360,163,-904,5884,448,-126,613,120
274365,341,-508,4623,54,371,822,120
274370,20,61,3298,-108,474,862,120
274375,-28,534,2832,-38,243,598,120
274380,213,410,4307,40,5,256,120
274385,380,349,4497,97,92,7,120
274390,111,23,4171,-65,280,-164,120
274395,-118,-100,3416,150,187,-285,120
274400,75,-232,5705,480,-222,-335,120
274405,-37,-551,5171,305,261,-253,120
274410,-100,-926,4780,170,397,-97,120
274415,-242,-496,3461,158,443,109,120
274420,-120,-460,3894,93,183,195,120
274425,51,-383,3726,18,104,263,120
274430,146,101,3748,-23,-98,296,120
274435,37,344,3894,-51,-187,179,120
274440,46,54,5062,131,-285,-41,120
274445,79,-269,4667,376,-97,-215,120
274450,26,-243,3820,255,44,-252,120
274455,-54,-15,5671,-6,13,-294,120
274460,76,-810,5060,131,422,-376,120
274465,156,-330,5048,331,370,-318,120
274470,23,-911,3599,207,570,-234,120
274475,86,-990,3945,-1,393,-11,120
274480,133,-416,3502,2,297,234,120
274485,19,187,3495,266,-21,341,120
274490,51,623,5131,-5,-172,256,120
274495,123,-51,5277,-54,257,90,120
274500,-207,123,4462,4,444,-20,120
274505,51,-366,4200,138,290,-142,121
274510,214,-489,3422,-16,306,-155,121
274515,205,-461,4724,170,16,-163,121
274520,150,-947,4646,124,169,-148,121
274525,107,-264,3438,347,134,-32,121
274530,-110,-262,5907,458,-253,-46,121
274535,-281,-322,4728,161,382,-50,121
274540,-132,52,4237,288,410,-51,121
274545,13,319,4664,343,208,-144,121
274550,-66,-537,2174,179,534,-252,121
274555,240,-386,4017,92,-136,-152,121
274560,214,376,2284,383,-239,-113,121
274565,557,244,6845,478,-1089,-312,121
274570,207,-204,4267,-23,-92,-340,121
274575,40,61,5708,151,-205,-344,121
274580,87,-187,4923,255,-101,-542,121
274585,138,-363,3933,204,-151,-638,121
274590,-70,-418,3350,169,-309,-670,121
274595,-116,-562,3690,187,-545,-644,121
274600,-148,-567,3618,439,-603,-574,121
274605,-10,-475,5081,449,-771,-449,121
274610,202,-594,5311,61,-391,-304,121
274615,137,-848,4885,-65,12,-90,121
274620,-16,-406,4825,-14,159,205,121
274625,124,6,4941,-116,237,331,121
274630,80,-114,4191,-99,545,320,121
274635,34,2,3230,-203,638,359,121
274640,41,52,3816,-51,477,354,121
274645,78,-56,4486,-419,482,335,121
274650,-74,-49,5321,-628,588,309,121
274655,-210,-160,4361,-609,993,281,121
274660,-162,-394,5171,-639,1065,278,121
274665,-130,-89,5025,-521,1403,297,121
274670,-230,-553,3551,-526,1558,274,121
274675,-156,-1194,3296,-549,1395,391,121
274680,-184,-509,2024,-576,1383,693,121
274685,102,1048,4197,-10,551,669,121
274690,272,-114,6269,-452,322,319,121
274695,-173,299,3411,-626,1044,125,121
274700,-152,291,5234,-344,357,-202,121
274705,-293,-537,5230,49,468,-541,121
274710,-260,-1415,3731,11,710,-534,121
274715,-271,-986,3249,143,396,-280,121
274720,-219,-656,3413,203,153,-66,121
274725,-341,-423,4165,138,113,90,121
274730,-83,110,4472,-185,185,194,121
274735,86,580,3629,-206,351,154,121
274740,-76,579,5223,-30,203,-29,121
274745,30,484,5289,-3,654,-264,121
274750,71,-465,3672,46,848,-478,121
274755,101,-921,4179,206,480,-466,121
274760,-227,-630,3475,268,607,-300,121
274765,227,-941,6104,-247,405,-148,121
274770,-75,-854,4218,-182,1121,53,121
274775,-257,148,5105,-110,773,193,121
274780,-404,-130,3685,-296,1215,107,121
274785,-149,926,1133,-9,1147,-57,121
274790,614,1675,3742,932,-132,-661,121
274795,215,111,4970,891,-256,-1331,121
274800,-406,-1821,2140,958,64,-1622,121
274805,-298,-1524,4481,1289,-1148,-1378,121
274810,131,-1688,3525,497,-1490,-901,121
274815,-421,-1644,1899,-306,-1855,-261,121
274820,-313,844,4309,453,-2513,202,121
274825,-470,1546,3510,-293,-2179,153,121
274830,-445,114,2263,-269,-2635,-104,121
274835,-22,184,3858,-121,-3497,-189,121
274840,-8,-226,3317,-235,-3250,-219,121
274845,-50,-984,3335,-597,-3195,-132,121
274850,49,-522,3606,-642,-3024,79,121
274855,-85,-311,3315,-606,-2850,137,121
274860,-201,-219,2987,-584,-3120,123,121
274865,894,1501,8903,923,-3428,-50,121
274870,1267,2276,14996,1932,-2152,-507,121
274875,996,-2013,5481,679,574,-587,121
274880,843,-3009,5957,872,834,-172,121
274885,68,-1003,6497,515,664,630,121
274890,534,-114,5732,610,1236,915,121
274895,358,575,2634,447,2156,953,121
274900,-119,695,1427,488,2209,773,121
274905,-331,1378,1847,501,1562,423,121
274910,271,1621,3489,258,880,48,121
274915,99,826,3868,-327,1061,-367,121
274920,-127,-221,2424,-293,1267,-681,121
274925,-142,-215,3731,-373,224,-718,121
274930,-234,-1049,5161,-672,-315,-596,121
274935,-321,-665,5316,-583,-19,-249,121
274940,-235,-953,4224,-184,152,-34,121
274945,-120,-810,3636,386,-146,79,121
274950,137,-652,4830,10,-569,194,121
274955,90,-290,3495,-312,-216,260,121
274960,61,433,3937,-342,-668,156,121
274965,180,358,4773,-431,-917,-86,121
274970,136,12,4266,-308,-612,-283,122
274975,19,-518,4281,-107,-540,-319,122
274980,154,-597,3767,34,-373,-211,122
274985,195,-148,4125,128,-435,-85,122
274990,263,-473,6028,-179,-371,-76,122
274995,335,-711,4688,-373,157,12,122
275000,208,-53,4604,-367,39,121,122
275005,171,136,4223,-313,105,82,122
275010,-65,-140,4609,-204,87,-15,122
275015,-40,43,4015,-34,111,-71,122
275020,-4,50,3846,175,-53,-208,122
275025,-217,-436,4057,276,-119,-358,122
275030,-28,-1182,5328,145,-261,-371,122
275035,96,-1230,3890,74,175,-135,122
275040,103,-622,3594,-125,-19,133,122
275045,105,-568,4322,-331,-342,249,122
275050,30,582,4385,-389,-379,306,122
275055,82,691,3930,-251,-252,141,122
275060,212,699,5058,-183,-181,-105,122
275065,-7,-367,4334,27,124,-339,122
275070,240,-172,5125,168,-69,-385,122
275075,189,-69,4299,-171,272,-417,122
275080,153,-959,3679,-240,202,-432,122
275085,51,-183,4681,-55,-260,-303,122
275090,-8,-639,3942,-266,-82,-170,122
275095,-79,-218,3034,88,-119,-60,122
275100,-166,-448,3909,135,-533,-74,122
275105,-26,-1052,4930,-40,-635,-21,122
275110,120,-731,4064,-256,-481,171,122
275115,139,251,3986,-365,-640,309,122
275120,-47,331,4674,-360,-872,195,122
275125,9,-140,4070,-292,-689,82,122
275130,131,212,4542,-263,-597,68,122
275135,117,12,3708,-99,-466,-76,122
275140,200,-353,4866,-9,-640,-233,122
275145,286,-408,4695,-165,-310,-280,122
275150,156,-881,4474,-138,-76,-277,122
275155,284,-854,4907,-83,-118,-190,122
275160,153,-961,5472,104,33,-51,122
275165,106,-359,3948,125,261,134,122
275170,187,44,3678,366,108,182,122
275175,159,366,4096,495,-64,97,122
275180,245,104,4739,209,-14,-113,122
275185,196,-154,4034,66,106,-269,122
275190,46,-24,4135,-105,-69,-336,122
275195,-69,-829,4440,-38,-195,-371,122
275200,52,-510,3857,-19,-262,-212,122
275205,87,-165,4417,18,-360,-66,122
275210,17,-445,3683,167,-267,-29,122
275215,-34,-608,4140,458,-442,10,122
275220,244,-216,5762,303,-462,42,122
275225,148,-595,3442,119,106,30,122
275230,317,-716,4758,125,-301,61,122
275235,246,-349,4203,182,-206,127,122
275240,289,-149,4758,117,-299,153,122
275245,414,-61,4825,54,-185,163,122
275250,60,193,3833,289,13,180,122
275255,-165,43,3793,585,-85,102,122
275260,10,-40,5685,274,-20,-8,122
275265,-36,-489,2938,-113,606,-78,122
275270,124,-796,4403,-64,-35,-60,122
275275,40,-85,4772,99,-84,22,122
275280,88,-642,4137,-83,135,58,122
275285,33,-1055,3837,-45,185,223,122
275290,54,-246,4007,387,-77,406,122
275295,259,27,4959,415,-277,423,122
275300,176,6,4466,147,142,328,122
275305,266,-353,4742,-102,413,245,122
275310,158,255,5405,15,556,210,122
275315,14,174,5324,152,812,23,122
275320,255,-171,5327,179,1151,-168,122
275325,-15,-565,3934,475,1660,-227,122
275330,-136,-922,4371,606,1578,-128,122
275335,-100,-597,4540,554,1665,66,122
